UNIPROT_AC	name	ENSEMBL_ID	GENE_NAME	DO_ID
Q6P1I6	PSD2	ENSMUSG00000024347	Psd2	DOID:1574
Q6P1J9	CDC73	ENSG00000134371	CDC73	DOID:13543|DOID:1540
Q6P2A4	Q6P2A4	ENSRNOG00000021087	Lgi4	DOID:1825
Q6P2L6	NSD3	ENSMUSG00000054823	Nsd3	DOID:8692
Q6P3A8	ODBB	ENSMUSG00000032263	Bckdhb	DOID:9269
Q6P3E7	HDA10	ENSMUSG00000062906	Hdac10	DOID:14330|DOID:9970
Q6P3S1	DEN1B	ENSG00000213047	DENND1B	DOID:2841
Q6P3Y5	Z280C	NA	Znf280c	DOID:1059
Q6P4F2	FDX2	ENSG00000267673	FDX2	DOID:699
Q6P4P1	SPA3A	ENSMUSG00000041536	Serpina3a	DOID:11394|DOID:11949|DOID:1485|DOID:2945|DOID:3083|DOID:3910|DOID:865
Q6P4S8	INT1	ENSMUSG00000029547	Ints1	DOID:83
Q6P4T2	U520	ENSMUSG00000003660	Snrnp200	DOID:10584
Q6P549	SHIP2	ENSMUSG00000032737	Inppl1	DOID:10763|DOID:9352|DOID:9970
Q6P5D8	SMHD1	ENSMUSG00000024054	Smchd1	DOID:9574
Q6P5E6	GGA2	ENSMUSG00000030872	Gga2	DOID:1289|DOID:3211
Q6P5H2	NEST	ENSMUSG00000004891	Nes	DOID:2316|DOID:2527|DOID:3021|DOID:3454
Q6P5P5	MEST	ENSRNOG00000048088	Mest	DOID:0050476
Q6P685	Q6P685	ENSRNOG00000017447	Eif2s2	DOID:10579
Q6P6Q2	K2C5	ENSRNOG00000050420	Krt5	DOID:11054|DOID:4644
Q6P6R2	DLDH	ENSRNOG00000006364	Dld	DOID:0014667|DOID:9269
Q6P6R7	SGSM3	ENSRNOG00000018745	Sgsm3	DOID:162|DOID:3369
Q6P6S1	Q6P6S1	ENSRNOG00000010602	Birc2	DOID:1612|DOID:4362|DOID:4450
Q6P6S4	SIL1	ENSRNOG00000019826	Sil1	DOID:9277
